aliasNames,shortName
classes/java/util/hashmap.java,Approved/TECHNOLOGY LICENSE FROM SUN Microssytems Inc TO DOUG LEA
classpath exception 2.0,spdx/Classpath-exception-2.0
classpath-exception-2.0,spdx/Classpath-exception-2.0
clearbsd,spdx/BSD-3-Clause-Clear
clisp exception 2.0,spdx/CLISP-exception-2.0
clisp-exception-2.0,spdx/CLISP-exception-2.0
cmu license,spdx/MIT-CMU
cnri digital object repository license agreement,FSF/DOR
cnri jython license,spdx/CNRI-Jython
cnri license agreement for python 1.6.1,spdx/CNRI-Python
cnri open source license agreement,spdx/CNRI-Python
cnri python license,spdx/CNRI-Python
cnri python open source gpl compatible license agreement,spdx/CNRI-Python-GPL-Compatible
cnri-jython,spdx/CNRI-Jython
cnri-python,spdx/CNRI-Python
cnri-python-gpl-compatible,spdx/CNRI-Python-GPL-Compatible
"code in this file was originally part of logilab-common, license",Approved/LGPL-2.1 for logilab-common NOTICE
code project open license 1.02,spdx/CPOL-1.02
"code project open license, version 1.02",spdx/CPOL-1.02
codehaus xfire license,spdx/BSD-3-Clause
coffeescript,spdx/MIT
colt,Approved/LGPL-2.1 based Colt License Agreement Notice
colt license agreement,Approved/LGPL-2.1 based Colt License Agreement Notice
commercial vaadin add-on license version 3,Approved/Commercial Vaadin Add-On License version 3
common development and distribution license,spdx/CDDL-1.0
common development and distribution license (cddl) plus gpl,Approved/CDDL + GPL-2.0-with-classpath-exception
common development and distribution license (cddl) v1.0,spdx/CDDL-1.0
common development and distribution license (cddl) version 1.0,spdx/CDDL-1.0
"common development and distribution license (cddl), version 1.0",spdx/CDDL-1.0
common development and distribution license 1.0,spdx/CDDL-1.0
common development and distribution license 1.1,spdx/CDDL-1.1
common public attribution license 1.0,spdx/CPAL-1.0
common public attribution license 1.0 (cpal),spdx/CPAL-1.0
common public license,spdx/CPL-1.0
common public license (cpl) -- v1.0,spdx/CPL-1.0
common public license - v 1.0,spdx/CPL-1.0
common public license 1.0,spdx/CPL-1.0
common public license version 1.0,spdx/CPL-1.0
common public license version 1.0 (cpl).,spdx/CPL-1.0
common public license version 1.0(cpl),spdx/CPL-1.0
"common public license, version 1.0 (cpl.1.0)",spdx/CPL-1.0
common-development-and-distribution-license-v1-0.,spdx/CDDL-1.0
community data license agreement permissive 1.0,spdx/CDLA-Permissive-1.0
community data license agreement sharing 1.0,spdx/CDLA-Sharing-1.0
computer associates trusted open source license 1.1,spdx/CATOSL-1.1
condor public license,spdx/Condor-1.1
condor public license v1.1,spdx/Condor-1.1
